,0,mean,std,min,max,median,mode,q1,q2,q3
proportional_fairness,238.71484303089284,238.71484303089284,0.0,238.71484303089284,238.71484303089284,238.71484303089284,238.71484303089284,238.71484303089284,238.71484303089284,238.71484303089284
"alpha_('Gas_node_3', 'Gas', 'Gas')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Gas_node_3', 'Gas', 'Gas')",139.9000000001,139.9000000001,0.0,139.9000000001,139.9000000001,139.9000000001,139.9000000001,139.9000000001,139.9000000001,139.9000000001
"alpha_('Gas_node_4', 'Gas', 'Gas')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Gas_node_4', 'Gas', 'Gas')",128.90000000010002,128.90000000010002,0.0,128.90000000010002,128.90000000010002,128.90000000010002,128.90000000010002,128.90000000010002,128.90000000010002,128.90000000010002
"alpha_('Gas_node_5', 'Gas', 'Gas')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Gas_node_5', 'Gas', 'Gas')",128.49999980793518,128.49999980793518,0.0,128.49999980793518,128.49999980793518,128.49999980793518,128.49999980793518,128.49999980793518,128.49999980793518,128.49999980793518
"alpha_('Gas_node_6', 'Gas', 'Gas')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Gas_node_6', 'Gas', 'Gas')",17.7,17.7,0.0,17.7,17.7,17.7,17.7,17.7,17.7,17.7
"alpha_('Gas_node_7', 'Gas', 'Gas')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Gas_node_7', 'Gas', 'Gas')",22.9,22.9,0.0,22.9,22.9,22.9,22.9,22.9,22.9,22.9
"alpha_('Gas_node_8', 'Gas', 'Gas')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Gas_node_8', 'Gas', 'Gas')",68.6,68.6,0.0,68.6,68.6,68.6,68.6,68.6,68.6,68.6
"alpha_('Gas_node_9', 'Gas', 'Gas')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Gas_node_9', 'Gas', 'Gas')",47.0,47.0,0.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0
"alpha_('Gas_node_10', 'Gas', 'Gas')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Gas_node_10', 'Gas', 'Gas')",13.4,13.4,0.0,13.4,13.4,13.4,13.4,13.4,13.4,13.4
"alpha_('Gas_node_11', 'Gas', 'Gas')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Gas_node_11', 'Gas', 'Gas')",3.4,3.4,0.0,3.4,3.4,3.4,3.4,3.4,3.4,3.4
"alpha_('Gas_node_12', 'Gas', 'Gas')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Gas_node_12', 'Gas', 'Gas')",14.2,14.2,0.0,14.2,14.2,14.2,14.2,14.2,14.2,14.2
"alpha_('Gas_node_13', 'Gas', 'Gas')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Gas_node_13', 'Gas', 'Gas')",25.3,25.3,0.0,25.3,25.3,25.3,25.3,25.3,25.3,25.3
"alpha_('Gas_node_14', 'Gas', 'Gas')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Gas_node_14', 'Gas', 'Gas')",11.5,11.5,0.0,11.5,11.5,11.5,11.5,11.5,11.5,11.5
"alpha_('Gas_node_15', 'Gas', 'Gas')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Gas_node_15', 'Gas', 'Gas')",128.4000000001,128.4000000001,0.0,128.4000000001,128.4000000001,128.4000000001,128.4000000001,128.4000000001,128.4000000001,128.4000000001
"alpha_('Power_node_9', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_9', 'Power', 'Power')",9.777975497,9.777975497,0.0,9.777975497,9.777975497,9.777975497,9.777975497,9.777975497,9.777975497,9.777975497
"alpha_('Power_node_10', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_10', 'Power', 'Power')",24.000000000100002,24.000000000100002,0.0,24.000000000100002,24.000000000100002,24.000000000100002,24.000000000100002,24.000000000100002,24.000000000100002,24.000000000100002
